ID,logP,logPerror
1,-0.12,0.55
2,1.27,0.24
3,-0.63,0.75
4,0.9,0.25
5,-0.12,0.25
6,3.36,0.29
7,1.08,0.27
8,2.4,0.24
9,-3.86,0.49
10,-0.66,0.54
11,1.28,0.21
12,0.53,0.26
13,0.061,0.22
14,-2.65,0.75
15,1.59,0.74
16,-0.84,0.45
17,1.01,0.27
18,2.59,0.17
19,1.35,0.21
20,2.01,0.24
21,7.83,0.19
22,2.67,0.63
23,3.18,0.63
24,1.81,0.63
25,3.01,0.47
26,2.73,0.45
27,2.73,0.45
28,3.24,0.72
29,1.91,0.68
30,2.29,0.65
31,0.87,0.51
32,1,0.24
33,1.97,0.37
34,2.63,0.44
35,3.25,0.71
36,2.06,0.71
37,2.58,0.71
38,0.85,0.27
39,3.39,0.29
40,2.09,0.28
41,2.51,0.22
42,2.16,0.57
43,2.38,0.25
44,2.08,0.28
45,2.59,0.19
46,1.59,0.17
47,1.77,0.25
48,0.36,0.43
49,1.97,0.71
50,1.68,0.32
51,1.37,0.25
52,2.59,0.28
53,1.97,0.71
54,2.01,0.28
55,0.53,0.32
56,1.26,0.41
57,2.33,0.51
58,1.53,0.25
59,0.22,0.61
60,1.02,0.54
61,1.78,0.63
62,0.48,0.55
63,0.83,0.55
64,2.25,0.61
65,0.99,0.57
66,0.78,0.34
67,1.4,0.4
68,1.66,0.71
69,2.39,1.26
70,1.37,0.25
71,1.64,0.24
72,2.88,1.06
73,3.04,1.03
74,2.43,0.81
75,2.22,0.4
76,2.46,0.78
77,2.35,0.27
78,1.7,0.77
79,0.77,0.59
80,1.29,0.62
81,2.88,0.54
82,1.9,0.42
83,1.39,0.26
84,1.01,0.24
85,0.37,0.46
86,0.53,0.33
87,1.21,0.25
88,0.22,0.23
89,-0.62,0.21
90,1.3,0.24
91,-0.45,0.28
92,-1.23,0.54
93,2.94,0.27
94,-1.2,0.4
95,0.29,0.28
96,-0.7,0.28
97,-0.19,0.28
98,0.26,0.25
99,0.75,0.21
100,1.59,0.38
101,1.29,0.28
102,1.8,0.28
103,2.31,0.28
104,2.82,0.28
105,3.33,0.28
106,3.84,0.28
107,4.35,0.28
108,4.86,0.28
109,5.37,0.28
110,5.88,0.28
111,6.39,0.28
112,6.9,0.28
113,7.41,0.28
114,7.92,0.28
115,8.42,0.28
116,0.77,0.25
117,2.06,0.24
118,2,0.2
119,1.14,1.04
120,3.9,0.47
121,2.43,0.57
122,-1.98,0.62
123,6.77,0.22
124,-0.83,0.62
125,5.77,0.25
126,1.57,0.79
127,3.07,0.44
128,-0.85,0.19
129,2.09,0.7
130,3.48,0.48
131,2.47,0.48
132,4.3,0.49
133,3.82,0.23
134,3.49,1.06
135,2.8,0.56
136,4.94,0.71
137,2.16,0.41
138,5.09,0.43
139,4.06,0.31
140,3.18,0.26
141,3.2,0.59
142,3.6,0.47
143,2.36,0.43
144,3.84,0.33
145,3.14,0.51
146,2.05,0.26
147,-0.78,0.23
148,3.07,0.55
149,4.59,0.72
150,4.63,0.51
151,4.45,0.68
152,5.04,0.47
153,4.89,0.67
154,1.66,0.6
155,3.26,0.43
156,7.31,0.54
157,3.68,0.62
158,2.7,0.62
159,4.52,0.37
160,5,0.4
161,5.11,0.82
162,3.77,0.32
163,1.07,0.27
164,4.34,0.44
165,3.3,0.71
166,5.07,0.4
167,3.39,0.2
168,3.1,0.39
169,3.1,0.56
170,3.24,0.62
171,3.7,1.16
172,3.86,0.57
173,3.56,0.51
174,4.2,0.48
175,3.72,0.5
176,3.65,0.7
177,3.77,0.55
178,3.56,0.64
179,1.7,1.36
180,3.36,0.51
181,3.63,0.42
182,0.47,0.64
183,3.94,0.57
184,4.14,0.71
185,4.16,0.77
186,3.86,0.36
187,0.31,1.25
188,2.21,0.9
189,0.79,0.58
190,2.38,0.35
191,2.56,0.47
192,3.28,0.4
193,1.76,0.43
194,2.03,0.5
195,2.5,0.58
196,3.03,0.42
197,0.69,0.28
198,3.19,0.3
199,4.9,0.58
200,2.79,0.56
201,4.64,0.48
202,5.2,0.35
203,4.68,0.4
204,0.92,0.42
205,4.37,0.6
206,1.56,0.35
207,3.62,0.41
208,2.93,0.44
209,5.18,0.52
210,2.15,0.48
211,2.5,0.28
212,4.64,0.73
213,2.64,0.68
214,4.23,0.74
215,2.73,0.67
216,3.55,0.24
217,4.5,0.82
218,1.63,0.57
219,1.76,0.25
220,4.3,0.63
221,4.3,0.43
222,1.46,0.38
223,4.3,0.85
224,0.63,0.28
225,2.2,0.44
226,3.71,0.51
227,3.1,0.48
228,0.67,0.39
229,2.42,0.23
230,2.54,0.56
231,4.65,0.55
232,2.73,0.64
233,4.81,0.66
234,1.29,0.52
235,5.03,0.46
236,2.09,0.43
237,3.98,0.85
238,3.53,0.45
239,3.12,0.45
240,3.45,0.68
241,5.56,0.63
242,0.83,0.4
243,4.73,0.52
244,1.45,0.21
245,1.54,0.83
246,-0.57,0.32
247,0.95,1.02
248,3.59,0.35
249,4.39,0.2
250,2.88,0.23
251,4.79,0.96
252,3.98,0.25
253,2.38,0.73
254,4.38,1.42
255,1.32,1.09
256,1.91,0.46
257,2.34,0.19
258,5.94,0.63
259,2.97,0.34
260,4.37,0.38
261,-0.25,0.51
262,1.95,1.09
263,4.58,0.63
264,0.11,1.25
265,-0.74,0.59
266,4.05,0.4
267,2.77,0.58
268,1.54,0.23
269,2.56,0.4
270,4.78,0.56
271,3.17,0.79
272,3.04,0.72
273,2.97,0.56
274,0.49,0.56
275,3.34,0.2
276,2.43,0.28
277,3.1,0.52
278,4.96,0.7
279,2.96,0.26
280,1.73,0.25
281,3.64,1.08
282,2.54,0.63
283,3.01,0.48
284,3.39,0.34
285,1.37,0.4
286,0.81,0.38
287,4.11,1.02
288,0.82,0.57
289,2.42,0.37
290,5.66,0.64
291,2.3,0.7
292,3.36,0.28
293,2.52,0.78
294,1.12,0.47
295,2.3,0.4
296,3.73,0.58
297,2.75,0.6
298,2.41,0.31
299,3.2,0.45
300,2.92,0.36
301,-0.42,0.24
302,0.51,0.45
303,1.07,0.28
304,3.2,0.4
305,1.9,0.53
306,7.12,0.55
307,3.09,0.28
308,2.37,0.38
309,2.7,0.34
310,0.51,0.38
311,3.21,0.2
312,-0.18,0.62
313,1.17,0.48
314,2.3,0.26
315,4.03,0.54
316,3.04,0.23
317,1.79,0.41
318,1.8,0.78
319,4.65,0.46
320,1.55,0.44
321,3.43,0.57
322,0.92,0.43
323,1.52,0.4
324,1.84,0.57
325,2.38,0.51
326,2.68,0.33
327,3.24,0.48
328,5.63,0.47
329,2.82,0.21
330,5.64,0.27
331,0.33,0.46
332,4.09,0.6
333,1.88,0.39
334,0.6,0.19
335,3.72,0.33
336,-0.47,0.2
337,3.47,0.52
338,1.11,0.26
339,3.14,0.67
340,4.33,0.73
341,5.5,0.43
342,4.38,0.23
343,2.47,0.57
344,2.2,0.46
345,0.16,0.76
346,1.82,0.39
347,2.39,0.38
348,-0.00711,0.3
349,1.59,0.58
350,2.44,0.24
351,1.51,0.36
352,1.54,0.56
353,4.38,0.41
354,1.21,0.87
355,2.58,0.77
356,-0.0212,0.3
357,0.0522,0.41
358,4.28,0.62
359,2.87,0.65
360,6.09,0.52
361,-0.44,0.33
362,0.0572,0.86
363,-3.45,0.62
364,4.48,0.51
365,0.0202,0.84
366,4.02,0.61
367,-3.37,0.71
368,1.68,0.61
369,-2.19,0.64
370,2.56,0.31
371,-1.48,0.46
372,-0.26,0.3
373,3.69,0.36
374,-0.81,0.57
375,2.3,0.48
376,-2.78,0.65
377,1.54,0.24
378,-0.14,0.3
379,2.13,0.45
380,-0.49,0.21
381,1.91,0.76
382,5.5,0.4
383,3.42,0.77
384,1.7,0.39
385,-1.18,0.49
386,2.53,0.3
387,1.22,0.64
388,0.98,0.51
389,-0.77,0.88
390,2.44,0.38
391,5.37,0.42
392,0.58,0.4
393,0.33,0.28
394,-0.75,0.55
395,0.54,0.35
396,2.72,0.39
397,3.39,0.44
398,1.94,0.29
399,-1.09,0.42
400,-0.38,0.41
401,1.01,0.5
402,1.21,0.42
403,0.25,0.78
404,4.39,0.4
405,2.91,0.26
406,2.21,0.82
407,3.32,1.1
408,1.16,0.31
409,2.44,0.57
410,0.75,0.21
411,2.88,0.36
412,0.78,0.24
413,1.78,0.41
414,4.09,0.5
415,2.32,0.27
416,5.04,0.49
417,2.93,1.13
418,3.2,0.61
419,1.8,0.73
420,2.47,0.32
421,1.62,0.41
422,3.81,0.48
423,2.53,0.26
424,4.03,0.39
425,2.61,0.39
426,4.86,0.38
427,0.19,0.43
428,4.29,0.47
429,0.89,0.19
430,1.89,0.71
431,2.85,0.53
432,1.03,0.79
433,3.33,1.03
434,3.08,0.83
435,2.03,0.57
436,3.36,0.72
437,0.61,0.45
438,1.95,0.4
439,0.52,0.51
440,1.59,0.47
441,3.45,0.48
442,2.3,0.33
443,3.24,0.39
444,0.73,0.35
445,5.01,0.77
446,1.43,0.66
447,0.35,0.25
448,5.82,0.76
449,5.18,0.28
450,1.63,0.29
451,1.82,0.27
452,-0.15,0.28
453,2.11,1.13
454,0.31,0.69
455,0.14,0.87
456,3.47,0.6
457,5.3,0.4
458,2.97,0.33
459,2.97,0.33
460,2.36,0.6
461,3.73,0.35
462,2.05,0.71
463,1.24,0.4
464,1.16,0.72
465,3.94,1.08
466,0.47,0.67
467,-0.51,0.84
468,-1.47,0.31
469,2.64,0.65
470,4.29,0.59
471,0.075,0.38
472,0.82,0.29
473,3.41,0.67
474,2.51,0.89
475,0.48,0.34
476,2.63,0.56
477,1.89,0.6
478,-0.0651,0.49
479,-0.77,0.45
480,4.41,0.76
481,-0.45,0.37
482,3.31,0.4
483,4.22,0.49
484,6.19,0.6
485,2.67,1.41
486,3.88,0.27
487,4.94,0.32
488,1.1,0.55
489,0.49,0.74
490,1.07,0.56
491,1.81,0.28
492,4.97,0.4
493,4.11,0.47
494,5.02,0.46
495,6.01,0.67
496,0.64,0.42
497,-1.12,0.61
498,-0.0249,0.8
499,3.85,0.49
500,4.73,0.77
501,1.74,0.5
502,1.63,0.55
503,2.86,1.42
504,2.4,0.47
505,2.9,0.4
506,3.89,0.41
507,3.84,0.35
508,1.45,0.58
509,1.9,0.24
510,1.94,0.41
511,4.79,0.39
512,-0.11,1.02
513,4.83,0.49
514,2.84,0.32
515,2.34,0.38
516,1.68,0.25
517,-1.08,0.31
518,4.44,0.44
519,0.63,0.42
520,2.7,0.43
521,3.97,0.28
522,-1.36,0.33
523,3.52,0.37
524,1.59,0.95
525,2.53,0.33
526,2.55785305365854,1.91961076807981
527,4.69,0.69
528,1.19,0.75
529,3.16,0.47
530,3,0.37
531,1.42,0.37
532,-0.94,0.92
533,1.55,0.37
534,4.94,0.42
535,1.07,0.4
536,5.35,0.72
537,6.88,1.31
538,0.77,0.54
539,7.9,0.63
540,-1.15,0.37
541,2.08,0.4
542,3.69,0.37
543,5.34,0.49
544,1.6,0.27
545,3.82,0.57
546,2.22,0.25
547,8.75,0.24
548,2.7,0.24
549,1,0.51
550,0.43,0.69
551,1.69,0.25
552,4.13,0.39
553,3.08,0.77
554,2.85,0.88
555,3.81,0.48
556,2.75,0.33
557,3.42,0.42
558,-0.56,0.64
559,1.27,0.56
560,3.29,0.48
561,5.8,0.39
562,3.73,0.43
563,7.85,0.48
564,3.71,0.5
565,0.89,0.74
566,-0.64,0.67
567,3.08,0.48
568,2.61,0.46
569,2.15,0.61
570,4.76,0.61
571,4.87,1.38
572,5.63,1
573,-2.18,0.71
574,3.62,0.37
575,7.01,0.32
576,5.5,0.81
577,3.11,1.14
578,2.72,0.74
579,2.17,0.23
580,5.59,0.6
581,3.67,0.61
582,4.98,1.22
583,0.25,0.46
584,2.36,0.82
585,1.29,0.59
586,-0.72,0.51
587,1.1,0.42
588,-1.61,0.67
589,1.08,0.23
590,3.76,0.47
591,-2.3,0.75
592,1.3,0.38
593,1,0.52
594,1.76,0.47
595,2.44,0.37
596,1.44,1.01
597,3.06,0.25
598,2.46,0.86
599,5.6,0.78
600,2.3,0.89
601,0.21,0.85
602,-0.0211,0.26
603,3.65,0.32
604,3.72,0.41
605,1.35,0.3
606,0.41,0.31
607,2.32,0.51
608,3.2,0.47
609,4.12,1.07
610,2.29,0.53
611,2.31,0.4
612,3.5,0.23
613,1.91,0.44
614,0.64,0.44
615,3.54,0.71
616,3.61,0.39
617,4.33,0.63
618,3.02,0.64
619,5.05,0.89
620,2.2,0.37
621,1.19,0.36
622,0.72,0.41
623,3.81,0.49
624,2.68,0.44
