"atom_idx","atom_symbol","matched_fg","frag_smiles","frag_id","idx1","idx2"
7,"O","Phenol","O",1,11,2
8,"O","Phenol","O",2,11,2
0,"C","Primary_carbon, Tertiary_carbon","C",1,95,5
2,"C","Primary_carbon, Tertiary_carbon","C",2,95,5
7,"N","Primary_aliph_amine, Alpha_aminoacid","N",3,95,5
13,"C","Carboxylic_acid, Conjugated_double_bond","O=CO",1,353,6
14,"O","Carboxylic_acid, Conjugated_double_bond","O=CO",1,353,6
15,"O","Carboxylic_acid","O=CO",1,353,6
3,"O","Ketone, Conjugated_double_bond","O",1,415,7
10,"Cl","Arylchloride","Cl",2,415,7
13,"C","Primary_carbon","C",3,415,7
14,"C","Primary_carbon","C",4,415,7
15,"C","Primary_carbon","C",5,415,7
8,"O","Phenol","O",1,11,8
0,"C","Primary_carbon","C",1,11,9
0,"C","Aromatic","cccc",1,83,10
1,"C","Aromatic","cccc",1,83,10
2,"C","Aromatic","cccc",1,83,10
5,"C","Aromatic","cccc",1,83,10
9,"O","Lactone, Oxoarene, Conjugated_double_bond","O",2,83,10
7,"O","Phenol, 1,2-Diphenol","O",1,13,11
0,"C","Primary_carbon","CC(C)=CCN",1,57,12
1,"C","Primary_carbon, Alkene","CC(C)=CCN",1,57,12
2,"C","Alkene","CC(C)=CCN",1,57,12
3,"C",NA,"CC(C)=CCN",1,57,12
4,"N",NA,"CC(C)=CCN",1,57,12
8,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","nc[nH]",2,57,12
9,"C","Aromatic","nc[nH]",2,57,12
10,"N","Hetero_N_basic_H, Heteroaromatic, Aromatic, Heterocyclic","nc[nH]",2,57,12
14,"C","Primary_carbon","CC(C)=CCN",1,57,12
0,"C","Alkylarylether","C",1,1004,13
9,"C","Alkylarylether","C",2,1004,13
11,"C","Alkylarylether","C",3,1004,13
12,"O","Phenol","O",4,1004,13
2,"C","Primary_carbon, Tertiary_carbon","C",1,95,14
5,"O","Carboxylic_acid, Alpha_aminoacid","O",2,95,14
7,"N","Primary_aliph_amine, Alpha_aminoacid","N",3,95,14
9,"O","Lactam","O",1,608,15
18,"Br","Arylbromide","Br",2,608,15
7,"N","Primary_arom_amine","N",1,522,16
8,"O","Lactam","O",1,32,18
8,"Cl","Arylchloride","Cl",1,556,19
9,"Cl","Arylchloride","Cl",2,556,19
10,"N","Primary_aliph_amine","N",3,556,19
0,"C","Alkene","C",1,943,20
5,"C","Primary_carbon","C",2,943,20
13,"C","Primary_carbon, Quaternary_carbon","C",3,943,20
14,"O","Dialkylether, Heterocyclic, Epoxide","O",4,943,20
12,"O","Primary_alcohol","O",1,972,21
13,"O","Secondary_alcohol, 1,2-Diol","O",2,972,21
14,"O","Secondary_alcohol, 1,2-Diol","O",3,972,21
0,"C","Primary_carbon, Secondary_carbon","C",1,23,22
15,"O","Carboxylic_acid","O",1,29,23
16,"O","Carboxylic_acid","O",2,29,23
20,"Cl","Arylchloride","Cl",3,29,23
0,"C","Primary_carbon","C",1,30,24
19,"Cl","Arylchloride","Cl",2,30,24
20,"O","Secondary_alcohol","O",3,30,24
0,"C","Primary_carbon","C",1,219,27
7,"N","Tertiary_mixed_amine","CNC",2,219,27
8,"C",NA,"CNC",2,219,27
9,"C",NA,"CNC",2,219,27
12,"O","Urethan","O",3,219,27
15,"O","Carboxylic_acid","O",1,29,28
16,"O","Carboxylic_acid","O",2,29,28
20,"O","Secondary_alcohol","O",1,30,29
0,"C","Primary_carbon, Secondary_carbon","CC",1,278,30
1,"C","Primary_carbon, Secondary_carbon","CC",1,278,30
7,"C","Aromatic","c1ccccc1",2,278,30
8,"C","Aromatic","c1ccccc1",2,278,30
9,"C","Aromatic","c1ccccc1",2,278,30
10,"C","Aromatic","c1ccccc1",2,278,30
11,"C","Aromatic","c1ccccc1",2,278,30
12,"C","Aromatic","c1ccccc1",2,278,30
20,"C","Alkylfluoride, Trifluoromethyl","FC(F)F",3,278,30
21,"F","Alkylfluoride, Trifluoromethyl","FC(F)F",3,278,30
22,"F","Alkylfluoride, Trifluoromethyl","FC(F)F",3,278,30
23,"F","Alkylfluoride, Trifluoromethyl","FC(F)F",3,278,30
24,"F","Arylfluoride","F",4,278,30
9,"Cl","Arylchloride","Cl",1,35,32
0,"C","Primary_carbon","CC",1,868,33
1,"C","Primary_carbon","CC",1,868,33
11,"O","Urea, Oxoarene, Conjugated_double_bond","O",2,868,33
