"atom_idx","atom_symbol","matched_fg","frag_smiles","frag_id","idx1","idx2"
11,"O","Carboxylic_acid","O",1,1,101
12,"O","Carboxylic_acid","O",2,1,101
13,"N","Primary_arom_amine","N",3,1,101
7,"O","Carboxylic_acid, Conjugated_double_bond","O",1,2,11
8,"O","Carboxylic_acid","O",2,2,11
9,"N","Primary_arom_amine","N",3,2,11
0,"C",NA,"C",1,3,356
0,"C","Primary_carbon","C",1,4,5
10,"C","Primary_carbon","C",2,4,5
0,"C","Carboxylic_ester","CO",1,5,95
1,"O","Carboxylic_ester","CO",1,5,95
3,"O","Carboxylic_ester","O",2,5,95
8,"C","Carboxylic_ester","C",3,5,95
9,"O","Secondary_alcohol, 1,2-Aminoalcohol","O",1,7,415
0,"C","Alkene","C=C",1,8,11
1,"C","Secondary_carbon, Alkene","C=C",1,8,11
10,"C","Alkylarylether","C",2,8,11
11,"O","Phenol","O",3,8,11
6,"O","Secondary_alcohol, 1,2-Diol","O",1,9,11
8,"O","Secondary_alcohol, 1,2-Diol","O",2,9,11
10,"O","Secondary_alcohol, 1,2-Diol","O",3,9,11
11,"O","Secondary_alcohol, 1,2-Diol","O",4,9,11
2,"C","Primary_alcohol","CO",1,10,83
3,"O","Primary_alcohol","CO",1,10,83
8,"O","Oxoarene, Conjugated_double_bond","O",2,10,83
9,"O","Phenol","O",3,10,83
0,"C","Primary_carbon","C",1,11,13
0,"C","Primary_carbon, Secondary_carbon","CC",1,12,57
1,"C","Primary_carbon, Secondary_carbon, Quaternary_carbon","CC",1,12,57
3,"C","Quaternary_carbon, Aromatic","c1ccccc1",2,12,57
4,"C","Aromatic","c1ccccc1",2,12,57
5,"C","Aromatic","c1ccccc1",2,12,57
6,"C","Aromatic","c1ccccc1",2,12,57
7,"C","Aromatic","c1ccccc1",2,12,57
8,"C","Aromatic","c1ccccc1",2,12,57
10,"O",NA,"O",3,12,57
13,"O","Urea","O",4,12,57
16,"O",NA,"O",5,12,57
4,"C","Primary_alcohol, 1,2-Diol","CO",1,14,95
5,"O","Primary_alcohol, 1,2-Diol","CO",1,14,95
7,"O","Secondary_alcohol, 1,2-Diol","O",2,14,95
8,"O","Secondary_alcohol, 1,2-Diol","O",3,14,95
9,"O","Primary_alcohol, 1,2-Diol","O",4,14,95
10,"C",NA,"CC=CCO",1,15,608
11,"C","Tertiary_carbon, Alkene, Annelated_rings","CC=CCO",1,15,608
12,"C","Alkene","CC=CCO",1,15,608
13,"C","Dialkylether","CC=CCO",1,15,608
14,"O","Dialkylether, Heterocyclic","CC=CCO",1,15,608
18,"O","Lactam","O",2,15,608
20,"C","Tertiary_carbon, Quaternary_carbon, Annelated_rings","C",3,15,608
0,"C","Primary_carbon","C",1,16,522
11,"O","Secondary_alcohol","O",2,16,522
16,"O","Lactam, Oxoarene, Conjugated_double_bond","O",3,16,522
11,"O","Phenol","O",1,17,87
8,"O","Carboxylic_acid","O",1,19,556
9,"O","Carboxylic_acid","O",2,19,556
11,"C","Secondary_carbon, Primary_amide","NC=O",1,20,943
12,"O","Primary_amide","NC=O",1,20,943
13,"N","Primary_amide","NC=O",1,20,943
0,"C","Primary_carbon, Secondary_carbon","CC",1,21,972
1,"C","Primary_carbon, Secondary_carbon","CC",1,21,972
0,"C","Primary_carbon, Secondary_carbon","C",1,23,29
3,"C","Primary_carbon, Tertiary_carbon","C",2,23,29
7,"C","Primary_carbon","C",1,25,26
8,"O","Secondary_alcohol","O",2,25,26
0,"C","Primary_carbon, Secondary_carbon","CC",1,27,219
1,"C","Primary_carbon, Secondary_carbon","CC",1,27,219
3,"O","Secondary_amide","O",2,27,219
6,"C","Primary_carbon","C",3,27,219
7,"C","Carboxylic_acid","O=CO",4,27,219
8,"O","Carboxylic_acid","O=CO",4,27,219
9,"O","Carboxylic_acid","O=CO",4,27,219
17,"Cl","Arylchloride","Cl",5,27,219
18,"Cl","Arylchloride","Cl",6,27,219
19,"Cl","Arylchloride","Cl",7,27,219
0,"C","Dialkylthioether","CS",1,28,29
1,"S","Dialkylthioether","CS",1,28,29
15,"O","Carboxylic_acid","O",1,29,30
16,"O","Carboxylic_acid","O",2,29,30
0,"C","Primary_carbon","CCO",1,30,278
1,"C","Primary_carbon, Secondary_alcohol","CCO",1,30,278
3,"C","Carboxylic_acid","O=CO",2,30,278
4,"O","Carboxylic_acid","O=CO",2,30,278
5,"O","Carboxylic_acid","O=CO",2,30,278
17,"Cl","Arylchloride","Cl",3,30,278
18,"Cl","Arylchloride","Cl",4,30,278
19,"Cl","Arylchloride","Cl",5,30,278
20,"O","Secondary_alcohol","CCO",1,30,278
0,"C","Primary_carbon","CC",1,31,32
1,"C","Primary_carbon","CC",1,31,32
8,"O","Lactam","O",1,32,35
9,"S","Isothiourea, Arylthiol","S",1,33,868
9,"N","Nitrile","N",1,34,55
9,"Cl","Arylchloride","Cl",1,35,38
0,"C","Primary_carbon, CH-acidic","C",1,36,37
2,"O","Carboxylic_ester","O",2,36,37
9,"N","Primary_arom_amine","N",1,38,45
13,"C","Aromatic","cc[nH]",1,39,911
14,"C","Aromatic","cc[nH]",1,39,911
15,"N","Hetero_N_basic_H, Heteroaromatic, Aromatic, Heterocyclic","cc[nH]",1,39,911
0,"C","Alkylarylether","CO",1,40,43
1,"O","Alkylarylether","CO",1,40,43
9,"N","Nitro, Conjugated_double_bond, Kation","O=[NH+][O-]",1,41,43
10,"O","Anion","O=[NH+][O-]",1,41,43
11,"O","Conjugated_double_bond","O=[NH+][O-]",1,41,43
0,"C","Aromatic","c1ccccc1",1,42,57
1,"C","Aromatic","c1ccccc1",1,42,57
2,"C","Aromatic","c1ccccc1",1,42,57
3,"C","Aromatic","c1ccccc1",1,42,57
4,"C","Aromatic","c1ccccc1",1,42,57
5,"C","Aromatic","c1ccccc1",1,42,57
9,"C","Nitrile, Conjugated_tripple_bond","C#N",1,43,44
10,"N","Nitrile, Conjugated_tripple_bond","C#N",1,43,44
0,"C","Alkylarylether","CO",1,44,45
1,"O","Alkylarylether","CO",1,44,45
6,"C","Aromatic","cn[nH]",1,47,49
7,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","cn[nH]",1,47,49
8,"N","Hetero_N_basic_H, Heteroaromatic, Aromatic, Heterocyclic","cn[nH]",1,47,49
9,"O","Ketone, Conjugated_double_bond","O",1,48,70
10,"O","Aldehyde, Conjugated_double_bond","O",1,50,51
10,"O","Carboxylic_acid, Conjugated_double_bond","O",1,52,71
11,"O","Carboxylic_acid","O",2,52,71
9,"C","Carboxylic_acid, Conjugated_double_bond","O=CO",1,53,71
10,"O","Carboxylic_acid, Conjugated_double_bond","O=CO",1,53,71
11,"O","Carboxylic_acid","O=CO",1,53,71
0,"C","Primary_carbon, CH-acidic","CC(=O)O",1,54,55
1,"C","Primary_carbon, Carboxylic_ester","CC(=O)O",1,54,55
2,"O","Carboxylic_ester","CC(=O)O",1,54,55
3,"O","Carboxylic_ester","CC(=O)O",1,54,55
0,"C","Primary_carbon","C",1,56,635
5,"O","Carboxylic_acid","O",2,56,635
6,"O","Carboxylic_acid","O",3,56,635
0,"C","Primary_carbon","CC=C(C)C",1,57,463
1,"C","Primary_carbon, Alkene","CC=C(C)C",1,57,463
2,"C","Alkene","CC=C(C)C",1,57,463
3,"C",NA,"CC=C(C)C",1,57,463
14,"C","Primary_carbon","CC=C(C)C",1,57,463
