"SMILES","MolWt","LogP","TPSA","LabuteASA","NumHAcceptors","NumHDonors","NumRotatableBonds","RingCount","NumAromaticRings","ExactMolWt"
"c1cc(ccc1C(=O)NCC(=O)O)N",194.19,0.0832000000000002,92.42,94.8438054521115,3,3,3,1,1,194.06914218
"c1ccc(c(c1)C(=O)O)N",137.138,0.967,63.32,68.1295688069247,2,2,1,1,1,137.047678464
"Cn1cnc2c1c(=O)n(C)c(=O)n2C",194.194,-1.0293,61.82,93.0786620198274,6,0,0,2,2,194.08037556
"CCOC(=O)CC(=O)OCC",160.169,0.5027,52.6,82.3386843753242,4,0,4,0,0,160.073558864
"COC(=O)CC(=O)OC",132.115,-0.2775,52.6,63.9889181458598,4,0,2,0,0,132.042258736
"c1ccc(cc1)Nc1ccccc1",169.227,3.4302,12.03,93.5510916432533,1,1,2,2,2,169.089149352
"CC(C(c1ccccc1)O)NC",165.236,1.3279,32.26,94.4545519057702,2,2,3,1,1,165.1153641
"C=CCc1ccc(c(c1)OC)O",164.204,2.1293,29.46,89.055663786743,2,1,3,1,1,164.083729624
"C1(C(C(C(C(C1O)O)O)O)O)O",180.156,-3.8346,121.38,85.7032005102366,6,6,0,1,0,180.063388104
"c1c(CO)occ(c1=O)O",142.11,-0.1623,70.67,64.9543151795998,4,2,1,1,1,142.026608672
"Cc1cc(cc(c1)O)O",124.139,1.40622,40.46,64.7979172558826,2,2,0,1,1,124.052429496
"CCC1(c2ccccc2)C(=O)NC(=O)NC1=O",232.239,0.7004,75.27,115.175274586185,3,2,2,2,1,232.084792244
"c1cc(c(c(c1)O)O)O",126.111,0.8034,60.69,60.5039381514736,3,3,0,1,1,126.031694052
"C(C(C(C(CO)O)O)O)O",152.146,-2.9463,101.15,75.463185539046,5,5,4,0,0,152.068473484
"c1ccc2c(c1)C13CCN4CC5=CCOC6CC(=O)N2C3C6C5CC14",334.419,2.0925,32.78,177.885030555736,3,0,0,7,1,334.168127944
"Cc1cn(C2CC(C(CO)O2)O)c(=O)[nH]c1=O",242.231,-1.51428,104.55,116.190533185664,6,3,2,2,1,242.090271548
"c1cc(ccc1C=CC(=O)O)O",164.16,1.49,57.53,80.9997205525353,2,2,2,1,1,164.047344116
"c1ccc2c(c1)cc[nH]2",117.151,2.1679,15.79,63.2150782056595,0,1,0,2,2,117.057849224
"c1ccc(cc1)CC(=O)O",136.15,1.3137,37.3,70.4434774599997,1,1,2,1,1,136.052429496
"c1ccc2c(c1)cccc2CC(=O)N",185.226,1.8676,43.09,97.9151534434045,1,1,2,2,2,185.084063972
"CCCCCCCCCCCCCCCCCC(=O)O",284.484,6.33250000000001,37.3,176.56463108898,1,1,16,0,0,284.271530392
"CC(C)C(C(=O)O)NC(=O)COc1ccc(cc1Cl)Cl",320.172,2.5976,75.63,147.592500132318,3,2,6,1,1,319.03781332
"CCC(C)C(C(=O)O)NC(=O)COc1ccc(cc1Cl)Cl",334.199,2.9877,75.63,156.76738324705,3,2,7,1,1,333.053463384
"CC(C(=O)O)NC(=O)COc1ccc(cc1Cl)Cl",292.118,1.9615,75.63,129.242733902853,3,2,5,1,1,291.006513192
"CCC(=O)NC(C(C)O)(C(=O)O)Oc1cc(c(cc1Cl)Cl)Cl",370.616,2.7135,95.86,161.371699869355,4,3,6,1,1,368.993755588
"CCC(=O)NC(C)(C(=O)O)Oc1cc(c(cc1Cl)Cl)Cl",340.59,3.3526,75.63,147.315912744299,3,2,5,1,1,338.983190904
"CCC(=O)NC(C)(C(=O)O)Oc1cc(c(cc1Cl)Cl)Cl",340.59,3.3526,75.63,147.315912744299,3,2,5,1,1,338.983190904
"CSCCC(C(=O)O)NC(=O)COc1cc(c(cc1Cl)Cl)Cl",386.684,3.3481,75.63,166.613905884397,4,2,8,1,1,384.970911968
"c1c(c(cc(c1Cl)OCC(=O)NC(CC(=O)O)C(=O)O)Cl)Cl",370.572,2.0697,112.93,153.548397854331,4,3,7,1,1,368.95737008
"CC(C(C(=O)O)NC(=O)COc1cc(c(cc1Cl)Cl)Cl)O",356.589,1.9758,95.86,152.196816754623,4,3,6,1,1,354.978105524
"CCN1c2ccccc2CC1=O",161.204,1.5956,20.31,87.2613716956472,1,0,1,2,1,161.084063972
"c1ccc2c(c1)CC(=O)N2",133.15,1.1812,29.1,68.7596906118258,1,1,0,2,1,133.052763844
"c1ccc2c(c1)[nH]c(n2)S",150.206,1.8516,28.68,71.8657182176442,2,2,0,2,2,150.025169192
"c1ccc2c(c1)c(CC#N)c[nH]2",156.188,2.23398,39.58,81.7425126160892,1,1,1,2,2,156.068748256
"c1cc(c2cc[nH]c2c1)Cl",151.596,2.8213,15.79,72.1133739323733,0,1,0,2,2,151.018876872
"CC(=O)Oc1cccc2c1cc[nH]2",175.187,2.0932,42.09,88.0299707643389,2,1,1,2,2,175.063328528
"COc1cccc2c1cc[nH]2",147.177,2.1765,25.02,77.5035065498986,1,1,1,2,2,147.068413908
"c1cc2c(cc[nH]2)cc1N",132.166,1.7501,41.81,70.0760526673167,1,2,0,2,2,132.068748256
"c1ccc(cc1)COc1ccc2c(cc[nH]2)c1",223.275,3.7469,25.02,118.180482756634,1,1,3,3,3,223.099714036
"COc1ccc2c(cc[nH]2)c1",147.177,2.1765,25.02,77.5035065498986,1,1,1,2,2,147.068413908
"c1cc2c(cc[nH]2)cc1N(=O)=O",162.148,2.0761,58.93,76.4630834279915,2,1,1,2,2,162.042927432
"c1ccc(cc1)CNc1c2c([nH]cn2)ncn1",225.255,1.965,66.49,113.523859285477,4,2,3,3,3,225.101445352
"c1cc2cc[nH]c2cc1C#N",142.161,2.03958,39.58,72.567629501357,1,1,0,2,2,142.053098192
"COc1ccc2cc[nH]c2c1",147.177,2.1765,25.02,77.5035065498986,1,1,1,2,2,147.068413908
"Cc1cccc2cc[nH]c12",131.178,2.47632,15.79,72.3899613203917,0,1,0,2,2,131.073499288
"c1ccc2c(c1)nco2",119.123,1.8278,26.03,59.1518973970946,2,0,0,2,2,119.03711378
"c1ccc2c(c1)cn[nH]2",118.139,1.5629,28.68,60.9982092548429,1,1,0,2,2,118.053098192
"c1ccc2c(c1)c(CC(=O)C(=O)O)c[nH]2",203.197,1.3641,70.16,98.3237937595957,2,2,3,2,2,203.058243148
"c1cc(c2cc[nH]c2c1)C(=O)O",161.16,1.8661,53.09,78.6224464304231,1,2,1,2,2,161.047678464
"c1ccc2c(c1)c(c[nH]2)C=O",145.161,1.9804,32.86,73.7415424200999,1,1,1,2,2,145.052763844
"c1ccc2c(c1)c(c[nH]2)CO",147.177,1.6602,36.02,77.270865330715,1,2,1,2,2,147.068413908
"c1ccc2c(c1)c(c[nH]2)C(=O)O",161.16,1.8661,53.09,78.6224464304231,1,2,1,2,2,161.047678464
"c1cc2c(cc[nH]2)cc1C(=O)O",161.16,1.8661,53.09,78.6224464304231,1,2,1,2,2,161.047678464
"CC(=O)Oc1c[nH]c2ccccc12",175.187,2.0932,42.09,88.029970764339,2,1,1,2,2,175.063328528
"c1cc2c(cc1O)c(CC(=O)O)c[nH]2",191.186,1.5006,73.32,92.6782335554786,2,3,2,2,2,191.058243148
"Cc1c(CC(=O)O)c2cc(ccc2[nH]1)OC",219.24,2.11202,62.32,111.260641004127,2,2,3,2,2,219.089543276
"CC(=CCNc1c2c(nc[nH]2)ncn1)C",203.249,1.731,66.49,106.046871505151,4,2,3,2,2,203.117095416
"c1ccc2c(c1)c(CC(=O)O)c[nH]2",175.187,1.795,53.09,87.7973295451553,1,2,2,2,2,175.063328528
"c1ccc2c(c1)c(CC(=O)NC(Cc1c[nH]cn1)C(=O)O)c[nH]2",312.329,1.2456,110.87,154.040349545673,3,4,6,3,3,312.122240372
"CC(C(=O)O)NC(=O)Cc1c[nH]c2ccccc12",246.266,1.2997,82.19,123.686449305074,2,3,4,2,2,246.100442308
"CSCCC(C(=O)O)NC(=O)CC1=CN=C2[CH]C=CC=C12",305.379,1.73799,78.76,151.482767266106,4,2,7,2,0,305.095988404
"c1ccc2c(c1)c(CC(=O)NC(CO)C(=O)O)c[nH]2",262.265,0.272099999999999,102.42,128.567353315398,3,4,5,2,2,262.095356928
"CC(C(C(=O)O)NC(=O)CC1=CN=C2[CH]C=CC=C12)O",275.284,0.36569,98.99,137.065678136332,4,3,5,2,0,275.10318196
"c1ccc2c(c1)c(CC(C(=O)O)NC(=O)Cc1c[nH]c3ccccc13)c[nH]2",361.401,3.0038,97.98,181.717277596965,2,4,6,4,4,361.142641468
"c1ccc2c(c1)c(CC(=O)NC(Cc1ccc(cc1)O)C(=O)O)c[nH]2",338.363,2.2281,102.42,169.244329522133,3,4,6,3,3,338.126657056
"CC(C(=O)O)NC(=O)CCCc1c[nH]c2ccccc12",274.32,2.0799,82.19,142.036215534539,2,3,6,2,2,274.131742436
"c1ccc(cc1)CC(C(=O)O)NC(=O)CCCc1c[nH]c2ccccc12",350.418,3.3027,82.19,182.713191741274,2,3,8,3,3,350.163042564
"CC(=O)Oc1cn(c2ccccc12)OC(=O)C",233.223,1.5417,57.53,112.950816676853,5,0,2,2,2,233.068807832
"c1cc(c2c(c(CC(=O)O)c[nH]2)c1Cl)Cl",244.077,3.1018,53.09,105.593920998583,1,2,2,2,2,242.985383824
"c1ccc2c(c1)c(CCC(=O)O)c[nH]2",189.214,2.1851,53.09,96.9722126598876,1,2,3,2,2,189.078978592
