"node","parent","crit"
"64","0",0
"65","0",0
"82","0",0
"85","0",0
"92","0",0
"127","0",0
"132","0",0
"136","0",0
"141","0",0
"142","0",0
"149","0",0
"151","0",0
"152","0",0
"153","0",0
"156","0",0
"159","0",0
"160","0",0
"161","0",0
"165","0",0
"166","0",0
"171","0",0
"180","0",0
"182","0",0
"185","0",0
"188","0",0
"195","0",0
"199","0",0
"205","0",0
"212","0",0
"216","0",0
"217","0",0
"218","0",0
"221","0",0
"223","0",0
"224","0",0
"226","0",0
"231","0",0
"232","0",0
"233","0",0
"235","0",0
"237","0",0
"241","0",0
"244","0",0
"249","0",0
"251","0",0
"252","0",0
"254","0",0
"255","0",0
"260","0",0
"262","0",0
"267","0",0
"270","0",0
"271","0",0
"272","0",0
"279","0",0
"281","0",0
"282","0",0
"287","0",0
"288","0",0
"290","0",0
"293","0",0
"297","0",0
"306","0",0
"312","0",0
"313","0",0
"321","0",0
"324","0",0
"327","0",0
"328","0",0
"331","0",0
"337","0",0
"339","0",0
"340","0",0
"341","0",0
"344","0",0
"345","0",0
"346","0",0
"352","0",0
"360","0",0
"362","0",0
"364","0",0
"365","0",0
"366","0",0
"369","0",0
"373","0",0
"374","0",0
"375","0",0
"382","0",0
"401","0",0
"403","0",0
"407","0",0
"413","0",0
"414","0",0
"416","0",0
"417","0",0
"419","0",0
"428","0",0
"431","0",0
"432","0",0
"433","0",0
"434","0",0
"436","0",0
"439","0",0
"440","0",0
"441","0",0
"444","0",0
"448","0",0
"461","0",0
"465","0",0
"466","0",0
"468","0",0
"469","0",0
"470","0",0
"474","0",0
"476","0",0
"477","0",0
"478","0",0
"480","0",0
"483","0",0
"484","0",0
"490","0",0
"492","0",0
"493","0",0
"495","0",0
"497","0",0
"498","0",0
"499","0",0
"500","0",0
"503","0",0
"505","0",0
"508","0",0
"513","0",0
"514","0",0
"524","0",0
"526","0",0
"527","0",0
"529","0",0
"536","0",0
"538","0",0
"539","0",0
"545","0",0
"547","0",0
"554","0",0
"557","0",0
"560","0",0
"561","0",0
"563","0",0
"565","0",0
"566","0",0
"567","0",0
"571","0",0
"575","0",0
"576","0",0
"581","0",0
"591","0",0
"596","0",0
"599","0",0
"604","0",0
"609","0",0
"615","0",0
"616","0",0
"619","0",0
"624","0",0
"625","0",0
"626","0",0
"628","0",0
"632","0",0
"636","0",0
"637","0",0
"638","0",0
"640","0",0
"643","0",0
"644","0",0
"651","0",0
"663","0",0
"665","0",0
"671","0",0
"672","0",0
"673","0",0
"675","0",0
"678","0",0
"679","0",0
"682","0",0
"683","0",0
"685","0",0
"687","0",0
"692","0",0
"694","0",0
"700","0",0
"704","0",0
"706","0",0
"709","0",0
"712","0",0
"713","0",0
"724","0",0
"726","0",0
"728","0",0
"729","0",0
"732","0",0
"733","0",0
"734","0",0
"736","0",0
"738","0",0
"740","0",0
"741","0",0
"743","0",0
"745","0",0
"747","0",0
"748","0",0
"752","0",0
"754","0",0
"755","0",0
"757","0",0
"761","0",0
"763","0",0
"764","0",0
"770","0",0
"775","0",0
"777","0",0
